transaction_date,from_account,to_account,amount,currency,description
2025-01-10,1001,5001,1000000,RUB,Пополнение корсчёта
2025-01-12,5001,1001,500000,RUB,Возврат с корсчёта
2025-01-15,1001,1002,300000,RUB,Оплата по договору
2025-01-20,1002,1001,150000,RUB,Частичный возврат
2025-02-01,1001,4001,200000,RUB,Выдача наличных
2025-02-05,4001,1002,80000,RUB,Внесение наличных
2025-02-10,1002,1001,50000,RUB,Оплата услуг
2025-02-15,1001,2001,400000,RUB,Выдача кредита
2025-02-20,3001,1001,250000,RUB,Закрытие депозита
2025-03-01,1001,3001,350000,RUB,Открытие депозита
2025-03-05,2001,1001,30000,RUB,Погашение кредита
2025-03-10,1001,5001,100000,RUB,Перевод в ЦБ
